,dataset_id,donor_id,cell_class,n_cells
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372,club,113
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372|goblet,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372,goblet,247
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1|basal,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1,basal,77
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1|ciliated,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1,ciliated,88
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1|club,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1,club,61
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2|basal,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2,basal,155
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2|ciliated,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2,ciliated,753
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2|club,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2,club,225
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3|basal,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3,basal,731
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3|ciliated,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3,ciliated,589
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3|club,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3,club,275
Krasnow_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3|goblet,Krasnow_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3,goblet,39
