,basal_to_club,basal_to_goblet,basal_to_ciliated
AGAP3,-0.8691782252335281,-1.312370877672974,-0.09718475398606977
AGAP4,,0.09867445425728234,0.8778298194827833
AGAP5,,0.9897088975713817,0.2982870792658018
AGAP6,,0.4811545399644119,0.6228647232957432
AGAP9,,0.2287243065772469,0.938152655306702
AGBL2,,0.4510389335023485,2.335008157579621
AGBL3,,0.6667096574431516,1.6567766365700174
AGBL4,,,1.6967314475347601
AGBL5,0.8070111093995914,-0.15386990349811383,1.5912852272767712
AGER,,0.014768716091881358,0.2624239785237812
AGFG1,0.5836058394451611,0.5580547294256505,0.23657234739712668
AGFG2,1.6942599709024808,1.3571367930165965,-0.16867113838096295
AGGF1,-0.1547902487597146,0.06650580012124428,0.04994984386630135
AGK,-0.5311502669205693,-0.6839028733683487,-0.023553630912470282
AGL,-0.9363281245206097,-1.0581562942795668,0.2919895050861199
AGMAT,,0.6184421069362481,
AGO1,0.37609767716704495,0.08565199213969509,0.4789272577526648
AGO2,0.024988284030008898,-0.038190427782995695,0.056742333589148035
AGO3,0.2185383949881852,-0.5845584368374145,-0.35633794944562325
AGO4,0.707011990916209,0.859359400084587,0.8758926521080957
AGPAT1,-0.08080196066828445,-0.4634356045969031,-0.016204108950426753
AGPAT2,1.1782998726762757,1.1030393919173385,0.19664285039960058
AGPAT3,1.1220805239669454,1.4845485341319509,1.2311140364211957
AGPAT4,,0.255058429443084,1.270663273241538
AGPAT5,-0.9091855660967211,-1.3026329570049304,1.0086575317106552
AGPS,0.7281634273114139,1.6440877948604176,0.7856876314240681
AGR2,1.5261853474156784,2.7158720877512788,0.04259390327612021
AGR3,1.7010706586820066,1.9648431892463771,1.570900973575673
AGRN,0.8409651144215624,-0.1122573700507992,-0.26417949375045313
AGTPBP1,0.8233844745500033,0.7794837883063038,1.0591379006979382
AGTRAP,-0.8006490184137581,-0.475500559937515,0.9481468109375638
AHCTF1,-0.06602395896398225,-0.2492949543400498,0.5737373934465421
AHCY,-1.8386795467489208,-2.0439937956462084,-2.910549556360262
AHCYL1,0.777696733919614,-0.08727896051868446,0.2249625368584521
AHCYL2,1.5832389193853298,1.858600568975499,0.44954759704583125
AHDC1,-1.2729615253119522,-1.260865308647677,-0.11271998609456435
AHI1,0.950703899117544,0.9479542371159726,0.964817558707445
AHI1-DT,,,1.4866713860703074
AHNAK,0.014393171921613986,-0.5086360878039391,-0.45643699660909015
AHNAK2,-2.1635267443017803,-1.4927296252598645,-0.11044492711672878
AHR,1.5471834442055998,0.959590999370158,-0.40700432644630263
AHSA1,-1.1974177314612873,-0.5626905228917852,1.1145738703169688
AHSA2P,0.2481190973477084,0.7107748966448623,1.1445266512933996
AIDA,0.6940616521131961,1.3754570342686052,0.30716316365441776
AIF1,,0.37087008031314894,0.2851147582129069
AIF1L,,0.19666871455467358,
AIFM1,0.5266477620728368,0.5325598997316731,-0.04994984386630149
AIFM2,-0.2659706302943236,0.13294398853093414,0.35372926036578944
AIFM3,,0.9914738975829117,0.48633621942858035
AIG1,0.6402612691788675,-0.5469354945117848,0.08999367263295033
AIM2,,0.014588596941476259,
AIMP1,-0.4816686621400203,0.20825000088964446,-0.4321058792865152
AIMP2,-0.39072072921476453,-0.3956803497079733,-0.48464040201497854
AIP,-0.3147350984626778,-0.3993835998934311,-1.9953822748421273
AIRIM,-0.6864636760180997,-1.1412351186210739,-1.3432401421970446
AJAP1,,-0.27782497743746076,
AJUBA,-2.214041747833263,-2.3214692500733727,-1.9092977522114252
AJUBA-DT,,-0.5383800444620238,0.10949715524216154
AK1,1.6522472761997102,1.0305041886912172,1.1041156009432371
AK2,0.8137266530222373,-0.20346712559563382,-1.3303484594777242
AK3,-0.5710916348430107,-0.06758883021593674,-1.1639660681719695
AK4,-1.1773782759600149,-1.2192926130966493,-1.5356502892875628
AK6,-0.10624477224977218,-0.11388866314089036,-0.3349366423382323
AK7,,0.8433162662986592,2.2351745294174785
AK8,,0.688460997310202,1.8333748637682838
AK9,0.40767891859337024,0.6541661891037311,2.62879295177236
AKAP1,0.20581994973170928,0.08782133444295981,-1.3931983068992746
