tf,target,z,n_lib,likelihood,libraries,w_contrib
FOXA2,ZNF337,-0.7526992105921186,1,0.3012822671372858,ENCODE_ChIP-seq,-0.22677492463963883
FOXA2,PIGL,1.1045341303657388,2,0.30581290513264164,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3377807912253025
FOXA2,COPE,0.7671456091517777,2,0.3052074925349366,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.23413858777840058
FOXA2,FAM162A,-1.9777589839805283,1,0.300379059590164,ENCODE_ChIP-seq,-0.5940773837040693
FOXA2,TMEM167B,1.0562391243269444,2,0.30393781275350207,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.32103100919260585
FOXA2,ETNK1,1.319367162998646,1,0.2981467325663847,ENCODE_ChIP-seq,0.393365008703427
FOXA2,ATL2,1.31225235451409,1,0.297484105508044,ENCODE_ChIP-seq,0.3903742178834487
FOXA2,LLGL2,0.8321426444349782,3,0.2951956853115197,"ENCODE_ChIP-seq,GTEx_Coexpression,ReMap_ChIP-seq",0.24564491820092366
FOXA2,EXD3,1.0030276998281755,1,0.2950230902736706,ENCODE_ChIP-seq,0.2959163316334
FOXA2,EFL1,-0.150130748986717,1,0.2947143324530334,ENCODE_ChIP-seq,-0.044245683468294224
FOXA2,SAV1,1.4012504846523397,1,0.2925809322158801,ENCODE_ChIP-seq,0.40997917306753534
FOXA2,CCDC66,-0.4034285584077323,1,0.2925086382944246,ENCODE_ChIP-seq,-0.1180063382689285
FOXA2,WDFY1,0.3490449271655178,2,0.2914254283192425,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.10172056740186984
FOXA2,AHCY,-1.8386795467489208,2,0.2908389695248597,"ENCODE_ChIP-seq,ReMap_ChIP-seq",-0.5347596646628923
FOXA2,C2CD5,1.243985707660086,1,0.2906326284294175,ENCODE_ChIP-seq,0.36154283594587977
FOXA2,NUMBL,-0.5654083452823728,1,0.2899330700882999,ENCODE_ChIP-seq,-0.16393057740126385
FOXA2,KIZ,-0.471092551447908,1,0.2896951195893501,ENCODE_ChIP-seq,-0.13647321302935378
FOXA2,IFT46,-0.7752063597076971,1,0.2894323413196634,ENCODE_ChIP-seq,-0.22436979169609195
FOXA2,TRIM24,0.0731800535697437,1,0.2894159593539421,ENCODE_ChIP-seq,0.02117947540946025
