tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
NFIA,False,False,False,False,0,0.622
ZNF431,False,False,False,False,0,0.622
MAFB,False,False,False,False,0,0.622
ZNF317,False,False,False,False,0,0.623
SP2,False,False,False,False,0,0.624
NR4A2,False,False,False,False,0,0.624
TEF,False,False,False,False,0,0.625
ZSCAN32,False,False,False,False,0,0.626
HEY1,False,False,False,False,0,0.627
SPDEF,False,False,False,False,0,0.628
ZNF480,False,False,False,False,0,0.628
FOXQ1,False,False,False,False,0,0.629
ZFHX3,False,False,False,False,0,0.63
ETV6,False,False,False,False,0,0.632
ZNF618,False,False,False,False,0,0.632
GRHL1,False,False,False,False,0,0.634
ZNF266,False,False,False,False,0,0.635
ZNF672,False,False,False,False,0,0.636
NR1H2,False,False,False,False,0,0.636
MLX,False,False,False,False,0,0.637
ZNF184,False,False,False,False,0,0.637
ZNF649,False,False,False,False,0,0.642
ZNF703,False,False,False,False,0,0.642
NFKB2,False,False,False,False,0,0.644
FOSB,False,False,False,False,0,0.644
ZBTB24,False,False,False,False,0,0.644
ZNF219,False,False,False,False,0,0.644
EPAS1,False,False,False,False,0,0.647
DBP,False,False,False,False,0,0.649
ZNF200,False,False,False,False,0,0.649
ZNF821,False,False,False,False,0,0.649
ZNF516,False,False,False,False,0,0.65
ZBTB5,False,False,False,False,0,0.65
SREBF1,False,False,False,False,0,0.65
MXI1,False,False,False,False,0,0.651
HES1,False,False,False,False,0,0.651
BACH1,False,False,False,False,0,0.651
DOT1L,False,False,False,False,0,0.651
ZBTB1,False,False,False,False,0,0.652
BCL6,False,False,False,False,0,0.653
ZNF595,False,False,False,False,0,0.654
TRAFD1,False,False,False,False,0,0.655
DEAF1,False,False,False,False,0,0.655
SNAPC5,False,False,False,False,0,0.657
ZNF468,False,False,False,False,0,0.658
ZNF248,False,False,False,False,0,0.658
CXXC5,False,False,False,False,0,0.659
SMAD1,False,False,False,False,0,0.659
ZFP91,False,False,False,False,0,0.66
FOXE1,False,False,False,False,0,0.66
ZNF276,False,False,False,False,0,0.661
RUNX2,False,False,False,False,0,0.662
OVOL2,False,False,False,False,0,0.663
ZEB1,False,False,False,False,0,0.663
THYN1,False,False,False,False,0,0.664
NR3C1,False,False,False,False,0,0.665
ZNF350,False,False,False,False,0,0.665
ZNF611,False,False,False,False,0,0.665
TGIF1,False,False,False,False,0,0.666
EGR3,False,False,False,False,0,0.668
ZNF358,False,False,False,False,0,0.669
SIX1,False,False,False,False,0,0.669
HEY2,False,False,False,False,0,0.669
ZFP30,False,False,False,False,0,0.669
NR1D1,False,False,False,False,0,0.669
KLF5,False,False,False,False,0,0.669
SOX9,False,False,False,False,0,0.67
ZNF385A,False,False,False,False,0,0.671
ZNF415,False,False,False,False,0,0.672
SREBF2,False,False,False,False,0,0.672
FOS,False,False,False,False,0,0.672
ZNF32,False,False,False,False,0,0.672
FOXC1,False,False,False,False,0,0.673
PBX3,False,False,False,False,0,0.674
ZNF189,False,False,False,False,0,0.675
XPA,False,False,False,False,0,0.676
ETV3,False,False,False,False,0,0.676
ZBED6,False,False,False,False,0,0.678
ZBTB10,False,False,False,False,0,0.678
ZNF395,False,False,False,False,0,0.678
ZBTB4,False,False,False,False,0,0.68
POGK,False,False,False,False,0,0.681
KLF7,False,False,False,False,0,0.682
YBX3,False,False,False,False,0,0.683
PHF21A,False,False,False,False,0,0.684
FOXJ2,False,False,False,False,0,0.685
CSRNP1,False,False,False,False,0,0.685
ZNF174,False,False,False,False,0,0.685
ZNF322,False,False,False,False,0,0.685
MTF1,False,False,False,False,0,0.687
ATF6,False,False,False,False,0,0.688
HMGN3,False,False,False,False,0,0.688
ZNF808,False,False,False,False,0,0.689
JUNB,False,False,False,False,0,0.69
ZHX1,False,False,False,False,0,0.691
RFX1,False,False,False,False,0,0.693
SRF,False,False,False,False,0,0.694
ATMIN,False,False,False,False,0,0.695
BARX2,False,False,False,False,0,0.699
NCOA1,False,False,False,False,0,0.7
ZNF621,False,False,False,False,0,0.701
ZNF91,False,False,False,False,0,0.701
MNT,False,False,False,False,0,0.702
CSRNP2,False,False,False,False,0,0.705
ELK3,False,False,False,False,0,0.707
PLSCR1,False,False,False,False,0,0.709
ZFP90,False,False,False,False,0,0.711
ETV7,False,False,False,False,0,0.712
ZNF117,False,False,False,False,0,0.712
HES2,False,False,False,False,0,0.714
